num,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2822,19101.71094,172.981,04N2K1,2016/1/5 15:23,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2823,11790.41821,565.296,04N2K1,2016/1/31 17:41,QPSK,644.997,967000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2824,11679.92383,425.024,04N2K1,2016/1/31 16:09,8PSK,455.104,0,N,N,unknow,unknow,NA,unknow,unknow
2825,11865.56201,416.847,04N2K1,2016/2/2 12:32,QPSK,436.145,640000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2826,20629.18945,110.585,04B6K2,2016/1/8 21:31,BPSK,104.726,52000,Y,N,unknow,NSC,NA,G18,unknow
2827,12120.5083,716.601,04N2K1,2016/1/2 21:10,QPSK,858.334,1287000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2828,19561.46387,94.971,04B6K2,2016/1/6 21:01,QPSK,100,150000,N,N,unknow,TPC,NA,V35,unknow
2829,20629.34766,53.187,04B6K2,2016/1/9 20:36,BPSK,81.455,40000,Y,N,unknow,NSC,NA,V35,unknow
2830,20601.63281,522.31,04B6K2,2016/1/9 20:36,8PSK,730.501,0,N,N,unknow,unknow,NA,unknow,unknow
2831,12109.78174,606.61,04N2K1,2016/1/5 0:59,8PSK,231.515,0,N,N,unknow,unknow,NA,unknow,unknow
2832,20566.84375,7910.941,04B6K2,2016/1/4 14:09,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2833,12056.95117,1265.842,04N2K1,2016/1/6 21:53,QPSK,1429.324,2048000,Y,N,unknow,NSC,NA,V35,unknow
2834,20566.65527,8578.612,04B6K2,2016/1/7 1:56,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2835,20627.77148,96.183,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2836,12054.95606,765.001,04N2K1,2016/2/2 12:16,BPSK,785.062,0,N,N,unknow,unknow,NA,unknow,unknow
2837,11536.52393,766.22,04B6K2,2016/1/9 7:46,8PSK,910.209,0,N,N,unknow,TPC,2964,unknow,unknow
2838,19559.60352,83.802,04B6K2,2016/1/9 18:46,QPSK,85.714,128000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2839,11784.49243,225.936,04N2K1,2016/2/2 0:09,QPSK,259.996,390000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2840,11869.83984,2335.215,04N2K1,2016/1/7 9:18,QPSK,2664.582,0,N,N,unknow,TPC,16320,unknow,unknow
2841,20582.58984,212.394,04B6K2,2016/1/4 13:24,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2842,20603.87402,11694.176,04B6K2,2016/1/8 4:45,QPSK,537.594,768000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2843,12030.96314,40.404,04N2K1,2016/1/6 0:58,8PSK,28.86,0,N,N,unknow,unknow,NA,unknow,unknow
2844,12159.74756,138.405,04N2K1,2016/1/7 10:44,8PSK,145.067,0,N,N,unknow,unknow,NA,unknow,unknow
2845,11915.13916,1514.51,04N2K1,2016/1/7 11:01,8PSK,1049.975,0,N,N,unknow,unknow,NA,unknow,unknow
2846,20618.00098,38.578,04B6K2,2016/1/5 9:20,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2847,20582.53516,172.058,04B6K2,2016/1/9 7:11,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2848,20629.19141,116.14,04B6K2,2016/1/9 6:15,BPSK,104.726,52000,Y,N,unknow,NSC,NA,G18,unknow
2849,20629.3457,66.961,04B6K2,2016/1/6 19:35,BPSK,81.455,40000,Y,N,unknow,NSC,NA,V35,unknow
2850,20628.26172,153.911,04B6K2,2016/1/9 20:29,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2851,11680.44678,963.579,04N2K1,2016/1/6 0:56,QPSK,1212.485,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
2853,20571.00684,124.336,04N2K1,2016/1/3 4:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2854,20606.88574,512.142,04B6K2,2016/1/9 17:22,QPSK,537.6,768000,N,N,unknow,TPC,1008,"12,9,3,2,0",HDLC
2855,20566.56152,5575.309,04B6K2,2016/1/9 18:08,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2856,19542.66406,31.241,04B6K2,2016/1/9 20:36,8PSK,56.523,0,N,N,unknow,unknow,NA,unknow,unknow
2857,20742.46554,444.542,04B6K2,2016/1/6 8:59,QPSK,511.995,768000,N,N,unknow,G-group,0,unknow,HDLC
2858,20582.14844,106.419,04B6K2,2016/1/9 11:07,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2859,11573.67065,882.657,04N2K1,2016/1/4 12:14,8PSK,1000.002,2625000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2860,11943.09448,1361.639,04N2K1,2016/1/6 7:55,QPSK,1714.794,0,N,N,unknow,unknow,NA,unknow,unknow
2861,12072.18335,140.896,04N2K1,2016/1/4 22:14,QPSK,146.287,256000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2862,20542.62919,95.232,04B6K2,2016/1/6 9:43,QPSK,93.867,140000,N,N,unknow,TPC,352,IBS,PPP
2863,19452.11035,36.022,04B6K2,2016/1/6 18:10,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2864,20499.68262,15413.098,04N2K1,2016/2/5 7:19,QPSK,892.344,1536000,N,N,unknow,TPC,NA,V35,unknow
2865,19565.35938,82.75,04B6K2,2016/1/9 20:36,unknow,0,0,unknow,unknow,Y,unknow,NA,unknow,unknow
2866,20535.24805,43.63,04B6K2,2016/1/4 14:51,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2867,11911.53687,238.811,04N2K1,2016/2/2 12:32,8QAM,250.116,0,N,N,unknow,LDPC,6276,unknow,unknow
2868,12030.96631,34.288,04N2K1,2016/1/7 9:18,8PSK,28.86,0,N,N,unknow,unknow,NA,unknow,unknow
2869,20617.10547,716.876,04B6K2,2016/1/9 14:53,unknow,0,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
